book_title,author,ratings,avg_rating,book_image,book_url
Bless the Child,Cathy Cash Spellman,691,3.76,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1180479645i/1045811.jpg,https://www.goodreads.com/book/show/1045811.Bless_the_Child
Drawing Dynamic Hands,Burne Hogarth,"8,653",4.09,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320507201i/1045908.jpg,https://www.goodreads.com/book/show/1045908.Drawing_Dynamic_Hands
King's Envoy,Cas Peace,99,4.10,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327986263i/10457746.jpg,https://www.goodreads.com/book/show/10457746-king-s-envoy
Swimming to Chicago,David-Matthew Barnes,52,3.75,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328743862i/10459166.jpg,https://www.goodreads.com/book/show/10459166-swimming-to-chicago
Calli,Jessica Lee Anderson,85,3.55,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328750888i/10459081.jpg,https://www.goodreads.com/book/show/10459081-calli
The Talk-Funny Girl,Roland Merullo,"3,035",4.13,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320457188i/10460266.jpg,https://www.goodreads.com/book/show/10460266-the-talk-funny-girl
These Trespasses,Kenneth W. Cain,28,4.29,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1362447861i/10462025.jpg,https://www.goodreads.com/book/show/10462025-these-trespasses
Boulder Blues: A Tale of the Colorado Counterculture,Sherry Marie Gallagher,8,4.50,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347453658i/10464537.jpg,https://www.goodreads.com/book/show/10464537-boulder-blues
When the Sirens Wailed,Streatfeild Noel,382,3.77,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1546651029i/10459.jpg,https://www.goodreads.com/book/show/10459.When_the_Sirens_Wailed
Happy Days,Samuel Beckett,"7,017",3.85,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1171520781i/104608.jpg,https://www.goodreads.com/book/show/104608.Happy_Days
Desolation Angels,Jack Kerouac,"11,830",3.93,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1386924204i/10461.jpg,https://www.goodreads.com/book/show/10461.Desolation_Angels
Watt,Samuel Beckett,"3,509",3.89,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1171520807i/104613.jpg,https://www.goodreads.com/book/show/104613.Watt
"Land of Nod, The Artifact",Gary  Hoover,614,3.73,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327671657i/10462485.jpg,https://www.goodreads.com/book/show/10462485-land-of-nod-the-artifact
The Wheel of Fortune,Susan Howatch,"3,420",4.14,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1338171897i/1046450.jpg,https://www.goodreads.com/book/show/1046450.The_Wheel_of_Fortune
Sagen om de japanske dræbergardiner,Dennis Jürgensen,146,3.95,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1338582150i/10465290.jpg,https://www.goodreads.com/book/show/10465290-sagen-om-de-japanske-dr-bergardiner
La ley del espejo,Yoshinori Noguchi,"1,580",3.83,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1303071422i/10464732.jpg,https://www.goodreads.com/book/show/10464732-la-ley-del-espejo
Red,Erica Spindler,"1,555",4.11,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1180486369i/1046497.jpg,https://www.goodreads.com/book/show/1046497.Red
The Buddha in the Attic,Julie Otsuka,"60,035",3.70,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327878988i/10464963.jpg,https://www.goodreads.com/book/show/10464963-the-buddha-in-the-attic
Shades of Gray,Carolyn Reeder,"2,821",3.86,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1211251898i/104651.jpg,https://www.goodreads.com/book/show/104651.Shades_of_Gray
Moon Spell,Samantha Young,"12,552",3.99,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1358171912i/10465086.jpg,https://www.goodreads.com/book/show/10465086-moon-spell
Mäster,Alexandra Coelho Ahndoril,34,3.59,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1444307735i/10466654.jpg,https://www.goodreads.com/book/show/10466654-m-ster
Shapechangers,Jennifer Roberson,"4,091",3.90,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1354539462i/1046558.jpg,https://www.goodreads.com/book/show/1046558.Shapechangers
The Unwanted Marriage,Catharina Maura,"46,958",4.05,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1684505922i/104659050.jpg,https://www.goodreads.com/book/show/104659050-the-unwanted-marriage
Twit Publishing Presents PULP!: Winter/Spring 2011,Chris Gabrysch,17,4.29,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328076833i/10467909.jpg,https://www.goodreads.com/book/show/10467909-twit-publishing-presents-pulp
Ash Mistry and the Savage Fortress,Sarwat Chadda,"1,348",3.92,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1314907181i/10466374.jpg,https://www.goodreads.com/book/show/10466374-ash-mistry-and-the-savage-fortress
The Dreaded Comparison: Human and Animal Slavery,Marjorie Spiegel,292,4.04,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1387733831i/1046666.jpg,https://www.goodreads.com/book/show/1046666.The_Dreaded_Comparison
The Hanging of Angelique: The Untold Story of Canadian Slavery and the Burning of Old Montreal,Afua Cooper,629,3.80,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328807995i/1046669.jpg,https://www.goodreads.com/book/show/1046669.The_Hanging_of_Angelique
Edward the Blue Engine,W. Awdry,117,3.97,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320524080i/1046798.jpg,https://www.goodreads.com/book/show/1046798.Edward_the_Blue_Engine
White Lies,Linda Howard,"6,615",3.98,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1362943919i/104678.jpg,https://www.goodreads.com/book/show/104678.White_Lies
Freaked Out,Annie Bryant,709,3.85,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1180487153i/1046625.jpg,https://www.goodreads.com/book/show/1046625.Freaked_Out
Ladies of Market Street,Emily Lear,33,3.36,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328315384i/10468695.jpg,https://www.goodreads.com/book/show/10468695-ladies-of-market-street
True Lies,Margaret Johnson-Hodge,144,4.08,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1171521431i/104684.jpg,https://www.goodreads.com/book/show/104684.True_Lies
Harry Potter and the Psychic Serpent,B.L. Purdom,387,4.11,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1404181428i/10468183.jpg,https://www.goodreads.com/book/show/10468183-harry-potter-and-the-psychic-serpent
Jesus Potter Harry Christ,Derek S. Murphy,92,4.02,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328315348i/10467995.jpg,https://www.goodreads.com/book/show/10467995-jesus-potter-harry-christ
How to Find Your Soulmate Without Losing Your Soul,Jason Evert,"1,425",4.30,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1337628644i/10468373.jpg,https://www.goodreads.com/book/show/10468373-how-to-find-your-soulmate-without-losing-your-soul
The Finding,Nicky Charles,"14,408",4.18,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1344881680i/10468258.jpg,https://www.goodreads.com/book/show/10468258-the-finding
Dead Silence,Kimberly Derting,"7,639",4.04,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1341101753i/10468701.jpg,https://www.goodreads.com/book/show/10468701-dead-silence
The Big Lie: A True Story,Isabella Leitner,464,3.89,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1387718347i/104688.jpg,https://www.goodreads.com/book/show/104688.The_Big_Lie
Beyond A Highland Whisper,Maeve Greyson,591,4.40,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1300433900i/10469157.jpg,https://www.goodreads.com/book/show/10469157-beyond-a-highland-whisper
Bride of the Mist,Christina Skye,799,4.04,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1431358345i/1046920.jpg,https://www.goodreads.com/book/show/1046920.Bride_of_the_Mist
Alexander von Humboldt,Reinhard Barth,12,3.50,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1662062945i/10471253.jpg,https://www.goodreads.com/book/show/10471253-alexander-von-humboldt
The Way the Crow Flies,Ann-Marie MacDonald,"14,857",4.12,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1437070357i/1046947.jpg,https://www.goodreads.com/book/show/1046947.The_Way_the_Crow_Flies
Freaky Friday,Mary Rodgers,"8,783",3.68,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1171523923i/104711.jpg,https://www.goodreads.com/book/show/104711.Freaky_Friday
Face Cards,Carolyn Wells,17,3.59,https://dryofg8nmyqjw.cloudfront.net/images/no-cover.png,https://www.goodreads.com/book/show/10472480-face-cards
The Survivors,Amanda Havard,634,3.67,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1363799022i/10470359.jpg,https://www.goodreads.com/book/show/10470359-the-survivors
Dark angel,Fanny Goldrose,20,3.55,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1297779690i/10471977.jpg,https://www.goodreads.com/book/show/10471977-dark-angel
Ugly,Constance Briscoe,"5,496",4.03,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1415584547i/1047113.jpg,https://www.goodreads.com/book/show/1047113.Ugly
127 Hours: The Shooting Script,Danny Boyle,235,3.84,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1297778947i/10471941.jpg,https://www.goodreads.com/book/show/10471941-127-hours
Παρενοχλήσεις,Arkas,223,4.49,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1297789878i/10473001.jpg,https://www.goodreads.com/book/show/10473001
Snow in Summer,Jane Yolen,"2,010",3.51,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1311279796i/10471419.jpg,https://www.goodreads.com/book/show/10471419-snow-in-summer
Real Happiness: The Power of Meditation,Sharon Salzberg,"6,430",3.98,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328315484i/10472293.jpg,https://www.goodreads.com/book/show/10472293-real-happiness
Pretty Good for a Girl: The Autobiography of a Snowboarding Pioneer,Tina Basich,108,3.86,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347690976i/1047338.jpg,https://www.goodreads.com/book/show/1047338.Pretty_Good_for_a_Girl
XCESS BAGGAGE,Varsha Dixit,232,3.32,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1297973770i/10473443.jpg,https://www.goodreads.com/book/show/10473443-xcess-baggage
13 Gifts,Wendy Mass,"15,140",4.23,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1302009711i/10473214.jpg,https://www.goodreads.com/book/show/10473214-13-gifts
The Watcher,John Brinling,82,3.04,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1302376692i/10473589.jpg,https://www.goodreads.com/book/show/10473589-the-watcher
Hex,Allen M. Steele,538,3.77,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1311280340i/10472902.jpg,https://www.goodreads.com/book/show/10472902-hex
The Vagina Monologues,V (formerly Eve Ensler),"37,343",3.87,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327243997i/104734.jpg,https://www.goodreads.com/book/show/104734.The_Vagina_Monologues
A Monstrous Regiment of Women,Laurie R. King,"26,755",4.04,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1334169424i/104737.jpg,https://www.goodreads.com/book/show/104737.A_Monstrous_Regiment_of_Women
Angelina's Secret,Lisa Rogers,99,3.92,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1298261918i/10473853.jpg,https://www.goodreads.com/book/show/10473853-angelina-s-secret
A Grave Talent,Laurie R. King,"7,794",3.96,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1362407229i/104739.jpg,https://www.goodreads.com/book/show/104739.A_Grave_Talent
Night Work,Laurie R. King,"3,543",3.84,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1403182793i/104740.jpg,https://www.goodreads.com/book/show/104740.Night_Work
Sleepers,Lorenzo Carcaterra,"16,291",4.27,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320477468i/104741.jpg,https://www.goodreads.com/book/show/104741.Sleepers
Περί ορέξεως,Arkas,212,4.42,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1470695928i/10475315.jpg,https://www.goodreads.com/book/show/10475315
The League of Extraordinary Gentlemen: Century 1969,Alan             Moore,"3,228",3.37,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347588702i/10474309.jpg,https://www.goodreads.com/book/show/10474309-the-league-of-extraordinary-gentlemen
The Four Feathers,A.E.W. Mason,"5,095",3.92,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1271384180i/1047422.jpg,https://www.goodreads.com/book/show/1047422.The_Four_Feathers
Hillserpent Academy,Richard Denney,71,2.97,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1337632188i/10475937.jpg,https://www.goodreads.com/book/show/10475937-hillserpent-academy
'Til Death,S.C. Stephens,"3,435",4.19,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1297818281i/10475907.jpg,https://www.goodreads.com/book/show/10475907-til-death
Mother Earth Father Sky,Sue Harrison,"8,633",3.98,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1387739338i/1047507.jpg,https://www.goodreads.com/book/show/1047507.Mother_Earth_Father_Sky
Ten Things We Did,Sarah Mlynowski,"19,961",3.71,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328028008i/10474408.jpg,https://www.goodreads.com/book/show/10474408-ten-things-we-did
Toxic Assets,Caroline Gerardo,17,3.94,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327333767i/10476872.jpg,https://www.goodreads.com/book/show/10476872-toxic-assets
Father of Money: Buying Peace in Baghdad,Jason Whiteley,20,4.35,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1421140179i/10477827.jpg,https://www.goodreads.com/book/show/10477827-father-of-money
Hex and the City,Simon R. Green,"12,085",4.06,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1390140819i/104765.jpg,https://www.goodreads.com/book/show/104765.Hex_and_the_City
Scored,Lauren McLaughlin,"2,275",3.34,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328208952i/10476572.jpg,https://www.goodreads.com/book/show/10476572-scored
Trashy Chic: A Bertie Mallowan Mystery,Cathy Lubenski,22,4.09,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328693307i/10477647.jpg,https://www.goodreads.com/book/show/10477647-trashy-chic
Sharper Than a Serpent's Tooth,Simon R. Green,"11,112",4.11,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1311689285i/104766.jpg,https://www.goodreads.com/book/show/104766.Sharper_Than_a_Serpent_s_Tooth
"How Could You Do That?!: The Abdication of Character, Courage, and Conscience",Laura Schlessinger,482,3.76,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1393783512i/1047759.jpg,https://www.goodreads.com/book/show/1047759.How_Could_You_Do_That_
The Merry Wives of Windsor,William Shakespeare,"13,592",3.55,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1704845314i/104778.jpg,https://www.goodreads.com/book/show/104778.The_Merry_Wives_of_Windsor
Screening Party,Dennis  Hensley,78,4.28,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1180494460i/1047869.jpg,https://www.goodreads.com/book/show/1047869.Screening_Party
Bittersweet Passion,Lynne Graham,532,3.33,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1350623178i/1047783.jpg,https://www.goodreads.com/book/show/1047783.Bittersweet_Passion
The Everything Parent's Guide to Raising Your Adopted Child: A complete handbook to welcoming your adopted child into your heart and home,Corrie Lynne Player,14,3.57,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1356041191i/10480045.jpg,https://www.goodreads.com/book/show/10480045-the-everything-parent-s-guide-to-raising-your-adopted-child
All's Well That Ends Well,William Shakespeare,"19,991",3.63,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348276791i/104790.jpg,https://www.goodreads.com/book/show/104790.All_s_Well_That_Ends_Well
Twisted,Gena Showalter,"5,744",3.96,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1304043841i/10479340.jpg,https://www.goodreads.com/book/show/10479340-twisted
Lies Beneath,Anne Greenwood Brown,"5,846",3.67,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1318984987i/10479750.jpg,https://www.goodreads.com/book/show/10479750-lies-beneath
Where's the Birth Certificate?: The Case that Barack Obama is not Eligible to be President,Jerome R. Corsi,135,3.69,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348820721i/10480963.jpg,https://www.goodreads.com/book/show/10480963-where-s-the-birth-certificate
The Viper,Monica McCarty,"7,460",4.28,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1351569667i/10480022.jpg,https://www.goodreads.com/book/show/10480022-the-viper
Timon of Athens,William Shakespeare,"7,352",3.44,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328033835i/104805.jpg,https://www.goodreads.com/book/show/104805.Timon_of_Athens
Happily Never After,Jeaniene Frost,"13,599",4.06,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1311263604i/10481132.jpg,https://www.goodreads.com/book/show/10481132-happily-never-after
The Apothecary,Maile Meloy,"14,809",4.07,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327916818i/10481268.jpg,https://www.goodreads.com/book/show/10481268-the-apothecary
I Will Plant You a Lilac Tree: A Memoir of a Schindler's List Survivor,Laura Hillman,"5,416",4.15,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1349073474i/10482.jpg,https://www.goodreads.com/book/show/10482.I_Will_Plant_You_a_Lilac_Tree
Pericles,William Shakespeare,"8,395",3.44,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347947630i/104813.jpg,https://www.goodreads.com/book/show/104813.Pericles
Scored,Lauren McLaughlin,"2,275",3.34,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1339155776i/10482013.jpg,https://www.goodreads.com/book/show/10482013-scored
Red Rock,Kimberley Patterson,41,3.34,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328315773i/10482238.jpg,https://www.goodreads.com/book/show/10482238-red-rock
The Wild Road,Marjorie M. Liu,"1,637",3.98,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1365824174i/10482257.jpg,https://www.goodreads.com/book/show/10482257-the-wild-road
The Horror of the Shade,Peter     Meredith,135,3.97,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327547082i/10482398.jpg,https://www.goodreads.com/book/show/10482398-the-horror-of-the-shade
Whitethorn: Poems,Jacqueline Osherow,20,3.95,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327993584i/10483403.jpg,https://www.goodreads.com/book/show/10483403-whitethorn
With Fate Conspire,Marie Brennan,350,3.91,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1317793798i/10482677.jpg,https://www.goodreads.com/book/show/10482677-with-fate-conspire
Mama Don't Like Ugly,Rekaya Gibson,134,4.07,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348458693i/10483126.jpg,https://www.goodreads.com/book/show/10483126-mama-don-t-like-ugly
If He's Dangerous,Hannah Howell,"2,452",4.23,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328315816i/10482769.jpg,https://www.goodreads.com/book/show/10482769-if-he-s-dangerous
The Transformation,Juliana Spahr,226,4.32,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1450565922i/1048335.jpg,https://www.goodreads.com/book/show/1048335.The_Transformation
The Nine Lives of Chloe King,Celia Thomson,"9,054",3.76,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1463275201i/10482783.jpg,https://www.goodreads.com/book/show/10482783-the-nine-lives-of-chloe-king
The Tides Of Lust,Samuel R. Delany,103,3.17,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1354640837i/1048314.jpg,https://www.goodreads.com/book/show/1048314.The_Tides_Of_Lust
"The Collected Works of Max Haines, Vol. 6",Max Haines,19,4.47,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1344618230i/10484103.jpg,https://www.goodreads.com/book/show/10484103-the-collected-works-of-max-haines-vol-6
The Malazan Book of the Fallen Collection 1,Steven Erikson,704,4.51,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1419649734i/10483592.jpg,https://www.goodreads.com/book/show/10483592-the-malazan-book-of-the-fallen-collection-1
A Thief in the Night,David   Chandler,829,3.69,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388392190i/10483537.jpg,https://www.goodreads.com/book/show/10483537-a-thief-in-the-night
Miss Farkku-Suomi,Kauko Röyhkä,325,3.28,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1297933399i/10484463.jpg,https://www.goodreads.com/book/show/10484463-miss-farkku-suomi
"The Great Penguin Rescue: 40,000 Penguins, a Devastating Oil Spill, and the Inspiring Story of the World's Largest Animal Rescue",Dyan deNapoli,243,3.98,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348804079i/10483599.jpg,https://www.goodreads.com/book/show/10483599-the-great-penguin-rescue
Antony and Cleopatra,William Shakespeare,"40,988",3.71,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347795799i/104837.jpg,https://www.goodreads.com/book/show/104837.Antony_and_Cleopatra
Carolina se enamora,Federico Moccia,"2,988",2.64,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328697732i/10484970.jpg,https://www.goodreads.com/book/show/10484970-carolina-se-enamora
Choices,Mary Lee Settle,73,3.73,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1266704547i/1048561.jpg,https://www.goodreads.com/book/show/1048561.Choices
Fall to Pieces,Vahini Naidoo,318,3.51,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1336830838i/10485605.jpg,https://www.goodreads.com/book/show/10485605-fall-to-pieces
"Beloved Prophet: The Love Letters of Kahlil Gibran and Mary Haskell, and Her Private Journal",Mary Elizabeth Haskell,"4,061",3.72,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1442549574i/104855.jpg,https://www.goodreads.com/book/show/104855.Beloved_Prophet
The Winter King,C.L. Wilson,"28,808",4.01,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1372702999i/10485751.jpg,https://www.goodreads.com/book/show/10485751-the-winter-king
Homer and Langley,E.L. Doctorow,"11,179",3.63,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347754627i/10486069.jpg,https://www.goodreads.com/book/show/10486069-homer-and-langley
In the Serpent's Coils,Tiffany Trent,653,3.70,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388364944i/1048623.jpg,https://www.goodreads.com/book/show/1048623.In_the_Serpent_s_Coils
Private Peaceful,Michael Morpurgo,"29,173",4.15,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328868065i/1048645.jpg,https://www.goodreads.com/book/show/1048645.Private_Peaceful
Иван Васильевич,Mikhail Bulgakov,774,4.30,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1333963316i/10487472.jpg,https://www.goodreads.com/book/show/10487472
Rebel Puritan : A Scandalous Life,Jo Ann Butler,104,4.14,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1299520636i/10488415.jpg,https://www.goodreads.com/book/show/10488415-rebel-puritan
Family Driven Faith: Doing What It Takes to Raise Sons and Daughters Who walk with God,Voddie T. Baucham Jr.,"3,373",4.39,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1369820299i/1048897.jpg,https://www.goodreads.com/book/show/1048897.Family_Driven_Faith
The Silicon Jungle,Shumeet Baluja,131,3.57,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327961030i/10489825.jpg,https://www.goodreads.com/book/show/10489825-the-silicon-jungle
Sacred Knight of the Veil,T.C. Southwell,673,4.32,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1302385334i/10490315.jpg,https://www.goodreads.com/book/show/10490315-sacred-knight-of-the-veil
The Merlin Effect,T.A. Barron,"1,128",3.84,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1309204485i/104896.jpg,https://www.goodreads.com/book/show/104896.The_Merlin_Effect
I Am One of You Forever,Fred Chappell,"1,538",4.10,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348110649i/104898.jpg,https://www.goodreads.com/book/show/104898.I_Am_One_of_You_Forever
Christine,Stephen        King,"249,187",3.85,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1436669973i/1048933.jpg,https://www.goodreads.com/book/show/1048933.Christine
Child of the Dark Prophecy,T.A. Barron,"6,587",4.08,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347858904i/104902.jpg,https://www.goodreads.com/book/show/104902.Child_of_the_Dark_Prophecy
Touched: The Jerry Sandusky Story,Jerry Sandusky,19,2.32,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1297974074i/10490898.jpg,https://www.goodreads.com/book/show/10490898-touched
Pursuit of His Presence: Daily Devotions to Strengthen Your Walk With God,Kenneth Copeland,131,4.56,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1387733065i/1049093.jpg,https://www.goodreads.com/book/show/1049093.Pursuit_of_His_Presence
Rockers,Thomas Fitzsimmons,2,4.00,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1311852229i/10492040.jpg,https://www.goodreads.com/book/show/10492040-rockers
