list_name,list_link
The Best Fairytales and Retellings,https://www.goodreads.com/list/show/96.The_Best_Fairytales_and_Retellings
Best Kick-Ass Female Characters From YA and Children's Fantasy and Science Fiction,https://www.goodreads.com/list/show/147.Best_Kick_Ass_Female_Characters_From_YA_and_Children_s_Fantasy_and_Science_Fiction
YA Novels of 2014,https://www.goodreads.com/list/show/8794.YA_Novels_of_2014
Most Interesting Magic System,https://www.goodreads.com/list/show/871.Most_Interesting_Magic_System
YA Novels of 2015,https://www.goodreads.com/list/show/44899.YA_Novels_of_2015
Books I Became So Obsessed With I Stopped Everything Else in My Life to Finish.,https://www.goodreads.com/list/show/5539.Books_I_Became_So_Obsessed_With_I_Stopped_Everything_Else_in_My_Life_to_Finish_
Best Books to Read When the Snow Is Falling,https://www.goodreads.com/list/show/23652.Best_Books_to_Read_When_the_Snow_Is_Falling
What Book Would You Like To Live In?,https://www.goodreads.com/list/show/4252.What_Book_Would_You_Like_To_Live_In_
I Should Probably Read This Sometime...,https://www.goodreads.com/list/show/740.I_Should_Probably_Read_This_Sometime_
College Romance,https://www.goodreads.com/list/show/12066.College_Romance
Best Non-Fiction (no biographies),https://www.goodreads.com/list/show/134.Best_Non_Fiction_no_biographies_
Best Ever Contemporary Romance Books,https://www.goodreads.com/list/show/57.Best_Ever_Contemporary_Romance_Books
Hurry Up and Release It!!!,https://www.goodreads.com/list/show/3765.Hurry_Up_and_Release_It_
Best Twists,https://www.goodreads.com/list/show/541.Best_Twists
Books that Made You Cry!,https://www.goodreads.com/list/show/223.Books_that_Made_You_Cry_
Best Humorous Books,https://www.goodreads.com/list/show/312.Best_Humorous_Books
Books With Unforgettable Characters,https://www.goodreads.com/list/show/94.Books_With_Unforgettable_Characters
Best Unknown but must be Known books,https://www.goodreads.com/list/show/25529.Best_Unknown_but_must_be_Known_books_
Best Adult Vampire Books,https://www.goodreads.com/list/show/129.Best_Adult_Vampire_Books
Best Children's Books,https://www.goodreads.com/list/show/86.Best_Children_s_Books
YA Novels of 2017,https://www.goodreads.com/list/show/73737.YA_Novels_of_2017
Big Fat Books Worth the Effort,https://www.goodreads.com/list/show/3153.Big_Fat_Books_Worth_the_Effort
Favorite books from my childhood,https://www.goodreads.com/list/show/226.Favorite_books_from_my_childhood
Books You Would Recommend to Strangers,https://www.goodreads.com/list/show/2997.Books_You_Would_Recommend_to_Strangers
1001 Books You Must Read Before You Die,https://www.goodreads.com/list/show/952.1001_Books_You_Must_Read_Before_You_Die
"Intense And ""Angsty"" Romance",https://www.goodreads.com/list/show/16083.Intense_And_Angsty_Romance
Best Young Adult Fiction,https://www.goodreads.com/list/show/141.Best_Young_Adult_Fiction
Indie Authors to Watch,https://www.goodreads.com/list/show/36335.Indie_Authors_to_Watch
Best Book Cover Art,https://www.goodreads.com/list/show/101.Best_Book_Cover_Art
Stories For Book Lovers,https://www.goodreads.com/list/show/527.Stories_For_Book_Lovers
Best Books Published in 2013,https://www.goodreads.com/list/show/27345.Best_Books_Published_in_2013
Best Book Titles,https://www.goodreads.com/list/show/276.Best_Book_Titles
Best Books of 2011,https://www.goodreads.com/list/show/8226.Best_Books_of_2011
YA Novels of 2011,https://www.goodreads.com/list/show/3812.YA_Novels_of_2011
Books That Were Way Better Than I Thought They Would Be,https://www.goodreads.com/list/show/16688.Books_That_Were_Way_Better_Than_I_Thought_They_Would_Be
Best Books of 2008,https://www.goodreads.com/list/show/4.Best_Books_of_2008
Thrillers You Must Read!,https://www.goodreads.com/list/show/8306.Thrillers_You_Must_Read_
Best Books of 2009,https://www.goodreads.com/list/show/1297.Best_Books_of_2009
Best Science Fiction,https://www.goodreads.com/list/show/19341.Best_Science_Fiction
What To Read After Harry Potter,https://www.goodreads.com/list/show/559.What_To_Read_After_Harry_Potter
Best Graphic Novels,https://www.goodreads.com/list/show/210.Best_Graphic_Novels
Books You Could Not Put Down,https://www.goodreads.com/list/show/1657.Books_You_Could_Not_Put_Down
Best Books of the 19th Century,https://www.goodreads.com/list/show/16.Best_Books_of_the_19th_Century
Humorous Romance Books,https://www.goodreads.com/list/show/1228.Humorous_Romance_Books
All-Time Awesome Books,https://www.goodreads.com/list/show/18346.All_Time_Awesome_Books
Books you have read more than one time,https://www.goodreads.com/list/show/9357.Books_you_have_read_more_than_one_time
Can't Wait Books of 2016,https://www.goodreads.com/list/show/75309.Can_t_Wait_Books_of_2016
Books You Must Read!,https://www.goodreads.com/list/show/18816.Books_You_Must_Read_
Can't Wait Books For 2011,https://www.goodreads.com/list/show/5513.Can_t_Wait_Books_For_2011
Highly Anticipated Indie Books of 2013,https://www.goodreads.com/list/show/29278.Highly_Anticipated_Indie_Books_of_2013
I AM IN LOVE !!!,https://www.goodreads.com/list/show/19109.I_AM_IN_LOVE_
Favorite Historical Romance Novels,https://www.goodreads.com/list/show/224.Favorite_Historical_Romance_Novels
Hottest Adult & Young Adult Romance Books,https://www.goodreads.com/list/show/18225.Hottest_Adult_Young_Adult_Romance_Books_
READ IT OVER AND OVER AGAIN!,https://www.goodreads.com/list/show/14227.READ_IT_OVER_AND_OVER_AGAIN_
Unforgettables,https://www.goodreads.com/list/show/592.Unforgettables
Funny as Hell!,https://www.goodreads.com/list/show/19534.Funny_as_Hell_
I Wish I Could Read it Again for the First Time,https://www.goodreads.com/list/show/2816.I_Wish_I_Could_Read_it_Again_for_the_First_Time
2012 Debut Authors (Young Adult & Middle Grade),https://www.goodreads.com/list/show/11525.2012_Debut_Authors_Young_Adult_Middle_Grade_
Controlling/Sexy/Possessive Men,https://www.goodreads.com/list/show/17468.Controlling_Sexy_Possessive_Men
TO DIE FOR 2000 - 2015 STAND-ALONES,https://www.goodreads.com/list/show/18006.TO_DIE_FOR_2000_2015_STAND_ALONES
Books I Will Never Forget,https://www.goodreads.com/list/show/3555.Books_I_Will_Never_Forget
Best Books of 2014,https://www.goodreads.com/list/show/47649.Best_Books_of_2014
YA Books of 2010 & 2011 I'm LIVING to read!!,https://www.goodreads.com/list/show/3615.YA_Books_of_2010_2011_I_m_LIVING_to_read_
Most Anticipated Romances of 2015,https://www.goodreads.com/list/show/80005.Most_Anticipated_Romances_of_2015
I Only Watched the Movie!,https://www.goodreads.com/list/show/4271.I_Only_Watched_the_Movie_
Best Female Lead Characters,https://www.goodreads.com/list/show/2602.Best_Female_Lead_Characters
Best Memoir / Biography / Autobiography,https://www.goodreads.com/list/show/281.Best_Memoir_Biography_Autobiography
Best Page-Turners with Redeeming Social Value,https://www.goodreads.com/list/show/11618.Best_Page_Turners_with_Redeeming_Social_Value
ONE DAY Best Summer Reads,https://www.goodreads.com/list/show/11323.ONE_DAY_Best_Summer_Reads
Best YA Fiction with GLBTQQI themes / characters,https://www.goodreads.com/list/show/653.Best_YA_Fiction_with_GLBTQQI_themes_characters
Books I Have No Intention of Reading,https://www.goodreads.com/list/show/1519.Books_I_Have_No_Intention_of_Reading
"Magic, Adventure, Romance",https://www.goodreads.com/list/show/870.Magic_Adventure_Romance
Best Ending,https://www.goodreads.com/list/show/574.Best_Ending
New Authors to Read,https://www.goodreads.com/list/show/7663.New_Authors_to_Read
Thrillers,https://www.goodreads.com/list/show/348.Thrillers
Books that Changed the Way You View Life,https://www.goodreads.com/list/show/1232.Books_that_Changed_the_Way_You_View_Life
So you love a Bad Boy or Tortured Hero,https://www.goodreads.com/list/show/4243.So_you_love_a_Bad_Boy_or_Tortured_Hero
Best Horror Novels,https://www.goodreads.com/list/show/135.Best_Horror_Novels
Recommended Arabic Books,https://www.goodreads.com/list/show/3865.Recommended_Arabic_Books
Best of Little-Known Authors,https://www.goodreads.com/list/show/7205.Best_of_Little_Known_Authors
YA Novels of 2018,https://www.goodreads.com/list/show/74439.YA_Novels_of_2018
Character You Most Want to Sleep With,https://www.goodreads.com/list/show/1104.Character_You_Most_Want_to_Sleep_With
The Most Influential Books,https://www.goodreads.com/list/show/1083.The_Most_Influential_Books
Best Woman-Authored Books,https://www.goodreads.com/list/show/26495.Best_Woman_Authored_Books
"Dealbreakers: If You Like This Book, We Won't Get Along",https://www.goodreads.com/list/show/15841.Dealbreakers_If_You_Like_This_Book_We_Won_t_Get_Along
"The ""Can't Wait"" Books of 2014",https://www.goodreads.com/list/show/28997.The_Can_t_Wait_Books_of_2014
Best Time Travel Fiction,https://www.goodreads.com/list/show/211.Best_Time_Travel_Fiction
Favorite Magical Realism Novels,https://www.goodreads.com/list/show/143.Favorite_Magical_Realism_Novels
Best Books of 2015,https://www.goodreads.com/list/show/86673.Best_Books_of_2015
Books that Make you Laugh,https://www.goodreads.com/list/show/510.Books_that_Make_you_Laugh
Science Fiction and Fantasy Must Reads,https://www.goodreads.com/list/show/2700.Science_Fiction_and_Fantasy_Must_Reads
YA Books Far Better than Twilight,https://www.goodreads.com/list/show/5490.YA_Books_Far_Better_than_Twilight
100 Mysteries and Thrillers to Read in a Lifetime: Readers' Picks,https://www.goodreads.com/list/show/73283.100_Mysteries_and_Thrillers_to_Read_in_a_Lifetime_Readers_Picks
Favorite Chick-Lit,https://www.goodreads.com/list/show/402.Favorite_Chick_Lit
Best Break Out,https://www.goodreads.com/list/show/10886.Best_Break_Out
Best Paranormal/Urban Fantasy Books,https://www.goodreads.com/list/show/400.Best_Paranormal_Urban_Fantasy_Books
